card_id,customer_id,card_type,credit_limit,available_limit,outstanding_balance,issue_date,expiry_date,card_status
CARD0000001,CUST000644,Business,50000,29207.52,20792.48,2023-06-03,2029-04-15,Active
CARD0000002,CUST000543,Gold,100000,29160.42,70839.58,2018-09-27,2028-04-08,Active
CARD0000003,CUST000932,Gold,150000,61989.51,88010.49,2019-12-15,2030-08-03,Closed
CARD0000004,CUST000058,Classic,300000,131577.22,168422.78,2019-12-08,2029-03-28,Active
CARD0000005,CUST000211,Platinum,200000,38992.58,161007.42,2025-03-17,2027-02-27,Active
CARD0000006,CUST000892,Gold,50000,22832.81,27167.19,2017-09-28,2027-03-05,Active
CARD0000007,CUST000743,Classic,500000,53948.77,446051.23,2020-02-02,2030-01-06,Active
CARD0000008,CUST000200,Gold,100000,56441.94,43558.06,2025-09-03,2028-09-22,Active
CARD0000009,CUST000674,Signature,500000,319717.9,180282.1,2023-07-11,2031-08-29,Active
CARD0000010,CUST000951,Platinum,50000,14353.17,35646.83,2022-08-09,2030-02-02,Active
CARD0000011,CUST000582,Gold,200000,179508.38,20491.62,2021-05-28,2030-04-05,Active
CARD0000012,CUST000141,Business,150000,59546.0,90454.0,2019-03-29,2030-08-15,Active
CARD0000013,CUST000110,Classic,150000,124368.6,25631.4,2026-01-24,2031-04-04,Active
CARD0000014,CUST000498,Platinum,150000,81411.02,68588.98,2025-12-07,2029-05-09,Active
CARD0000015,CUST000648,Signature,500000,261412.25,238587.75,2018-07-28,2031-03-26,Closed
CARD0000016,CUST000654,Signature,100000,10647.76,89352.24,2023-07-22,2028-11-24,Closed
CARD0000017,CUST000913,Gold,100000,83487.29,16512.71,2022-11-13,2031-01-16,Active
CARD0000018,CUST000439,Signature,500000,347346.19,152653.81,2024-07-09,2030-08-19,Active
CARD0000019,CUST000940,Classic,100000,78837.04,21162.96,2020-07-16,2030-10-29,Active
CARD0000020,CUST000541,Platinum,100000,30453.86,69546.14,2021-02-07,2031-12-09,Active
CARD0000021,CUST000899,Signature,300000,141933.17,158066.83,2022-01-18,2027-09-25,Active
CARD0000022,CUST000230,Signature,50000,40721.77,9278.23,2020-10-15,2031-09-20,Active
CARD0000023,CUST000322,Platinum,100000,80824.67,19175.33,2017-12-14,2027-10-27,Active
CARD0000024,CUST000179,Classic,300000,42325.08,257674.92,2019-12-02,2031-11-10,Closed
CARD0000025,CUST000218,Business,150000,126681.57,23318.43,2017-10-02,2030-12-03,Active
CARD0000026,CUST000478,Platinum,50000,35116.13,14883.87,2022-09-12,2029-03-07,Closed
CARD0000027,CUST000645,Platinum,500000,117224.21,382775.79,2021-05-29,2030-05-07,Expired
CARD0000028,CUST000662,Business,75000,39522.46,35477.54,2022-11-25,2031-06-06,Active
CARD0000029,CUST000126,Gold,75000,48765.76,26234.24,2019-07-21,2030-10-13,Active
CARD0000030,CUST000323,Classic,75000,15160.01,59839.99,2022-10-28,2028-05-31,Active
CARD0000031,CUST000885,Classic,100000,73716.51,26283.49,2017-12-30,2029-08-28,Active
CARD0000032,CUST000224,Gold,150000,147703.89,2296.11,2022-04-04,2031-02-03,Closed
CARD0000033,CUST000252,Classic,500000,162520.09,337479.91,2019-09-21,2029-06-19,Active
CARD0000034,CUST000341,Gold,200000,127731.03,72268.97,2025-10-15,2028-08-15,Active
CARD0000035,CUST000761,Platinum,300000,110323.05,189676.95,2020-06-02,2030-12-26,Active
CARD0000036,CUST000382,Signature,200000,128552.06,71447.94,2022-01-01,2031-02-11,Active
CARD0000037,CUST000114,Signature,300000,76783.41,223216.59,2026-04-20,2027-07-09,Closed
CARD0000038,CUST000055,Classic,75000,21352.85,53647.15,2024-05-24,2029-02-04,Active
CARD0000039,CUST000743,Signature,50000,10912.72,39087.28,2018-08-07,2028-06-02,Closed
CARD0000040,CUST000383,Classic,150000,87527.15,62472.85,2025-06-06,2027-01-30,Active
CARD0000041,CUST000574,Classic,50000,5194.83,44805.17,2025-09-03,2029-11-07,Closed
CARD0000042,CUST000143,Business,300000,271520.48,28479.52,2025-10-24,2030-06-23,Active
CARD0000043,CUST000044,Business,300000,70589.98,229410.02,2024-09-28,2031-08-15,Expired
CARD0000044,CUST000394,Platinum,50000,38630.08,11369.92,2020-07-03,2029-09-23,Active
CARD0000045,CUST000093,Business,500000,134846.87,365153.13,2018-09-14,2029-12-23,Closed
CARD0000046,CUST000849,Classic,50000,26483.59,23516.41,2017-04-28,2027-10-11,Active
CARD0000047,CUST000174,Signature,300000,198216.64,101783.36,2023-11-20,2030-02-28,Active
CARD0000048,CUST000354,Gold,50000,16396.55,33603.45,2023-05-25,2030-10-20,Active
CARD0000049,CUST000149,Classic,50000,15420.33,34579.67,2019-01-21,2029-12-11,Active
CARD0000050,CUST000244,Gold,50000,14475.68,35524.32,2025-05-07,2027-09-25,Active
CARD0000051,CUST000910,Gold,150000,62438.84,87561.16,2025-06-11,2031-02-10,Active
CARD0000052,CUST000956,Signature,75000,34449.3,40550.7,2019-09-07,2029-04-12,Active
CARD0000053,CUST000447,Gold,500000,61572.21,438427.79,2022-01-24,2027-02-10,Closed
CARD0000054,CUST000410,Gold,50000,13789.56,36210.44,2024-03-18,2028-12-15,Active
CARD0000055,CUST000068,Signature,75000,73455.19,1544.81,2018-01-11,2029-07-27,Active
CARD0000056,CUST000604,Classic,150000,41097.43,108902.57,2019-04-12,2028-03-28,Active
CARD0000057,CUST000626,Platinum,100000,16181.74,83818.26,2020-05-13,2027-04-05,Active
CARD0000058,CUST000215,Gold,150000,128870.23,21129.77,2025-11-15,2030-04-11,Active
CARD0000059,CUST000159,Business,500000,142811.17,357188.83,2018-06-05,2027-05-31,Active
CARD0000060,CUST000015,Platinum,50000,22778.74,27221.26,2018-09-28,2030-02-13,Active
CARD0000061,CUST000827,Gold,150000,38340.05,111659.95,2021-11-01,2028-04-07,Active
CARD0000062,CUST000745,Gold,100000,26103.93,73896.07,2026-01-02,2030-12-28,Active
CARD0000063,CUST000567,Platinum,75000,18882.09,56117.91,2024-04-04,2030-06-06,Active
CARD0000064,CUST000405,Classic,75000,41235.62,33764.38,2019-07-16,2029-04-08,Active
CARD0000065,CUST000533,Signature,100000,32937.83,67062.17,2021-03-16,2030-09-28,Active
CARD0000066,CUST000527,Platinum,500000,165202.31,334797.69,2018-04-14,2027-05-02,Active
CARD0000067,CUST000137,Platinum,75000,44107.07,30892.93,2017-12-28,2030-03-27,Closed
CARD0000068,CUST000757,Classic,200000,183907.14,16092.86,2023-05-23,2031-11-03,Closed
CARD0000069,CUST000061,Classic,200000,120260.55,79739.45,2024-07-26,2028-04-01,Active
CARD0000070,CUST000695,Business,50000,32156.45,17843.55,2022-05-14,2031-02-01,Active
CARD0000071,CUST000041,Platinum,100000,89353.42,10646.58,2023-08-18,2029-02-19,Expired
CARD0000072,CUST000871,Signature,150000,80857.36,69142.64,2024-05-28,2027-05-18,Blocked
CARD0000073,CUST000324,Signature,200000,141800.91,58199.09,2025-01-08,2031-05-20,Active
CARD0000074,CUST000184,Classic,50000,38480.29,11519.71,2018-08-28,2029-09-06,Active
CARD0000075,CUST000155,Signature,100000,36303.74,63696.26,2018-05-12,2028-07-13,Active
CARD0000076,CUST000897,Platinum,75000,15606.27,59393.73,2026-03-10,2031-03-10,Expired
CARD0000077,CUST000040,Platinum,500000,177093.01,322906.99,2020-11-15,2031-03-30,Closed
CARD0000078,CUST000422,Signature,150000,16034.85,133965.15,2025-12-10,2028-05-21,Active
CARD0000079,CUST000666,Business,50000,9880.09,40119.91,2022-05-27,2029-10-06,Active
CARD0000080,CUST000071,Signature,75000,42623.13,32376.87,2018-01-17,2027-04-15,Blocked
CARD0000081,CUST000986,Platinum,150000,69383.25,80616.75,2018-02-06,2031-04-04,Active
CARD0000082,CUST000506,Gold,50000,5723.12,44276.88,2020-12-21,2029-12-05,Expired
CARD0000083,CUST000091,Business,50000,47625.56,2374.44,2018-03-08,2031-11-04,Active
CARD0000084,CUST000381,Signature,150000,98588.83,51411.17,2022-09-15,2028-07-16,Active
CARD0000085,CUST000371,Business,500000,93640.83,406359.17,2018-02-17,2027-08-02,Active
CARD0000086,CUST000364,Signature,300000,178947.02,121052.98,2022-01-06,2027-11-17,Active
CARD0000087,CUST000108,Gold,50000,23499.34,26500.66,2017-03-12,2030-10-29,Closed
CARD0000088,CUST000382,Business,50000,6835.44,43164.56,2023-01-03,2031-10-31,Active
CARD0000089,CUST000814,Business,50000,13450.71,36549.29,2022-08-17,2031-01-12,Active
CARD0000090,CUST000629,Platinum,150000,115022.12,34977.88,2019-12-17,2028-02-04,Active
CARD0000091,CUST000836,Business,50000,32536.69,17463.31,2020-04-21,2031-02-19,Active
CARD0000092,CUST000725,Signature,500000,236014.07,263985.93,2022-07-12,2028-03-01,Active
CARD0000093,CUST000914,Signature,150000,117010.12,32989.88,2018-07-14,2029-07-01,Active
CARD0000094,CUST000958,Business,75000,64978.85,10021.15,2018-08-25,2031-03-04,Active
CARD0000095,CUST000072,Platinum,300000,111933.79,188066.21,2020-12-12,2030-07-09,Active
CARD0000096,CUST000855,Classic,100000,69648.23,30351.77,2018-06-14,2031-02-25,Active
CARD0000097,CUST000310,Platinum,75000,48278.06,26721.94,2019-10-27,2030-08-29,Closed
CARD0000098,CUST000565,Classic,300000,136245.92,163754.08,2018-07-06,2028-08-22,Active
CARD0000099,CUST000362,Gold,75000,72725.51,2274.49,2017-02-10,2030-03-27,Active
CARD0000100,CUST000401,Signature,100000,76891.5,23108.5,2021-05-06,2027-01-20,Active
CARD0000101,CUST000001,Signature,100000,31656.44,68343.56,2025-07-23,2031-11-06,Blocked
CARD0000102,CUST000836,Classic,150000,43106.74,106893.26,2018-11-20,2027-01-22,Active
CARD0000103,CUST000329,Business,300000,73056.44,226943.56,2018-02-13,2028-06-17,Active
CARD0000104,CUST000530,Gold,150000,120592.84,29407.16,2023-10-24,2031-04-22,Blocked
CARD0000105,CUST000720,Signature,500000,86214.41,413785.59,2020-08-08,2027-11-06,Active
CARD0000106,CUST000753,Business,200000,193245.44,6754.56,2025-12-02,2027-05-07,Active
CARD0000107,CUST000911,Signature,300000,75949.9,224050.1,2022-06-16,2027-02-17,Active
CARD0000108,CUST000397,Signature,100000,25668.36,74331.64,2017-07-28,2029-02-06,Active
CARD0000109,CUST000008,Classic,150000,96716.83,53283.17,2017-06-15,2027-11-18,Active
CARD0000110,CUST000665,Business,50000,8661.03,41338.97,2021-06-24,2031-04-20,Active
CARD0000111,CUST000217,Platinum,150000,111777.82,38222.18,2021-01-31,2029-03-04,Active
CARD0000112,CUST000365,Gold,500000,141593.44,358406.56,2018-10-21,2029-03-19,Active
CARD0000113,CUST000933,Classic,300000,45027.41,254972.59,2021-07-30,2028-03-31,Active
CARD0000114,CUST000260,Signature,50000,8346.08,41653.92,2024-04-18,2027-12-21,Active
CARD0000115,CUST000597,Platinum,100000,69323.76,30676.24,2024-03-16,2027-10-06,Active
CARD0000116,CUST000418,Classic,300000,103872.51,196127.49,2017-05-14,2031-07-13,Closed
CARD0000117,CUST000386,Signature,200000,182119.2,17880.8,2025-12-30,2030-10-10,Active
CARD0000118,CUST000800,Signature,200000,62864.33,137135.67,2020-11-10,2027-03-14,Active
CARD0000119,CUST000857,Platinum,500000,306566.03,193433.97,2024-08-08,2031-09-25,Active
CARD0000120,CUST000182,Business,200000,108460.51,91539.49,2018-07-27,2028-03-04,Active
CARD0000121,CUST000982,Business,500000,165590.02,334409.98,2022-06-26,2029-02-02,Active
CARD0000122,CUST000753,Business,50000,13985.72,36014.28,2024-01-13,2031-09-07,Active
CARD0000123,CUST000403,Gold,200000,112212.8,87787.2,2021-08-02,2031-12-15,Active
CARD0000124,CUST000398,Gold,150000,83584.77,66415.23,2017-12-03,2028-12-02,Closed
CARD0000125,CUST000432,Gold,200000,28294.85,171705.15,2020-06-23,2027-03-07,Blocked
CARD0000126,CUST000149,Gold,50000,25121.95,24878.05,2018-05-01,2028-10-24,Active
CARD0000127,CUST000120,Platinum,500000,89640.15,410359.85,2022-07-30,2028-09-19,Active
CARD0000128,CUST000945,Business,75000,20338.37,54661.63,2025-10-09,2027-09-03,Active
CARD0000129,CUST000719,Signature,50000,10226.92,39773.08,2019-10-15,2030-03-31,Active
CARD0000130,CUST000610,Gold,300000,134317.23,165682.77,2017-07-18,2027-06-26,Active
CARD0000131,CUST000666,Signature,150000,85280.81,64719.19,2025-07-22,2027-05-05,Active
CARD0000132,CUST000269,Classic,500000,389609.52,110390.48,2020-11-11,2029-07-22,Active
CARD0000133,CUST000635,Classic,100000,68789.4,31210.6,2017-12-13,2028-04-12,Active
CARD0000134,CUST000215,Signature,150000,31977.22,118022.78,2017-02-09,2029-09-23,Active
CARD0000135,CUST000655,Gold,50000,40704.12,9295.88,2017-11-23,2028-05-31,Expired
CARD0000136,CUST000485,Gold,150000,121063.0,28937.0,2020-09-23,2031-08-19,Active
CARD0000137,CUST000230,Signature,500000,399864.79,100135.21,2025-04-25,2027-10-16,Active
