loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_months,emi_amount,loan_start_date,loan_status,collateral_required
LOAN0000001,CUST000319,Home Loan,5335511,10.98,84,91300.85,2019-05-05,Active,No
LOAN0000002,CUST000170,Personal Loan,6796705,13.7,120,104307.49,2021-01-25,Active,Yes
LOAN0000003,CUST000121,Education Loan,2842422,7.97,120,34441.38,2018-03-30,Closed,Yes
LOAN0000004,CUST000462,Car Loan,790130,15.32,12,71435.16,2023-03-04,Defaulted,Yes
LOAN0000005,CUST000536,Gold Loan,5536124,13.87,60,128443.11,2019-11-10,Active,No
LOAN0000006,CUST000767,Business Loan,1227951,13.64,48,33334.24,2018-03-20,Closed,No
LOAN0000007,CUST000984,Gold Loan,1305556,15.85,12,118361.56,2023-08-02,Under Review,Yes
LOAN0000008,CUST000013,Personal Loan,1067881,17.69,36,38440.59,2019-05-25,Defaulted,No
LOAN0000009,CUST000356,Personal Loan,6544792,14.25,48,179667.95,2024-09-07,Active,No
LOAN0000010,CUST000634,Education Loan,7006193,7.8,48,170384.66,2024-01-17,Active,No
LOAN0000011,CUST000502,Gold Loan,369427,17.05,84,7560.22,2021-07-05,Active,Yes
LOAN0000012,CUST000767,Car Loan,672850,12.08,84,11906.45,2018-03-19,Active,No
LOAN0000013,CUST000932,Education Loan,752607,11.49,120,10577.01,2021-02-13,Active,Yes
LOAN0000014,CUST000700,Car Loan,6266596,9.67,60,132131.4,2024-10-07,Active,Yes
LOAN0000015,CUST000980,Business Loan,4393166,17.01,36,156650.22,2022-01-07,Active,Yes
LOAN0000016,CUST000715,Home Loan,7307382,7.32,120,86054.96,2020-05-25,Active,No
LOAN0000017,CUST000081,Gold Loan,2343102,11.02,180,26661.06,2023-09-15,Active,No
LOAN0000018,CUST000234,Personal Loan,7090280,7.77,180,66820.34,2023-05-16,Active,Yes
LOAN0000019,CUST000281,Home Loan,3553618,15.25,120,57877.54,2024-10-19,Active,Yes
LOAN0000020,CUST000166,Gold Loan,2724823,17.3,48,79048.44,2024-11-02,Active,Yes
LOAN0000021,CUST000691,Car Loan,116597,17.94,180,1872.67,2025-01-23,Active,No
LOAN0000022,CUST000219,Home Loan,1412428,7.5,36,43935.29,2022-04-07,Active,No
LOAN0000023,CUST000848,Education Loan,2032593,12.26,120,29468.12,2023-09-28,Active,No
LOAN0000024,CUST000623,Education Loan,1192528,11.25,36,39183.17,2018-09-16,Active,Yes
LOAN0000025,CUST000150,Car Loan,66294,10.75,24,3082.13,2022-09-26,Defaulted,No
LOAN0000026,CUST000902,Personal Loan,6954295,8.87,24,317290.54,2024-09-03,Active,Yes
LOAN0000027,CUST000129,Business Loan,1067310,13.67,60,24652.22,2022-05-23,Active,Yes
LOAN0000028,CUST000920,Personal Loan,6319403,15.49,180,90575.95,2024-07-05,Under Review,Yes
LOAN0000029,CUST000236,Home Loan,2232182,13.68,84,41437.52,2019-01-30,Closed,No
LOAN0000030,CUST000366,Gold Loan,3299726,17.6,180,52192.61,2026-01-15,Under Review,Yes
LOAN0000031,CUST000245,Home Loan,3383318,8.98,48,84161.89,2025-07-24,Active,Yes
LOAN0000032,CUST000110,Gold Loan,1513959,16.78,84,30746.79,2024-03-09,Active,No
LOAN0000033,CUST000140,Home Loan,7291885,13.33,24,347800.84,2018-10-11,Active,No
LOAN0000034,CUST000825,Car Loan,240924,12.74,84,4348.9,2024-03-02,Closed,No
LOAN0000035,CUST000620,Gold Loan,5035184,12.67,48,134258.14,2022-02-12,Closed,Yes
LOAN0000036,CUST000722,Car Loan,5420489,10.53,24,251456.11,2022-11-16,Active,Yes
LOAN0000037,CUST000605,Gold Loan,7479352,12.89,24,355195.71,2020-07-17,Closed,No
LOAN0000038,CUST000040,Car Loan,1956705,11.18,180,22461.51,2020-01-14,Active,No
LOAN0000039,CUST000818,Car Loan,1262320,9.46,180,13151.01,2022-02-03,Closed,Yes
LOAN0000040,CUST000364,Car Loan,7454626,9.1,60,155107.82,2025-12-16,Closed,No
LOAN0000041,CUST001000,Business Loan,6452728,12.83,180,80922.17,2022-09-11,Under Review,Yes
LOAN0000042,CUST000991,Home Loan,673391,14.59,240,8663.83,2022-02-08,Active,Yes
LOAN0000043,CUST000586,Gold Loan,6689728,10.44,84,112584.2,2024-09-29,Active,Yes
LOAN0000044,CUST000752,Home Loan,6665652,15.38,24,324399.86,2021-02-03,Active,No
LOAN0000045,CUST000825,Home Loan,4889598,18.41,36,177777.98,2022-02-26,Active,No
LOAN0000046,CUST000151,Car Loan,5291751,12.01,24,249125.81,2023-07-17,Active,No
LOAN0000047,CUST000505,Car Loan,798857,15.67,240,10916.84,2020-08-11,Active,No
LOAN0000048,CUST000860,Business Loan,756469,16.52,84,15249.94,2026-03-27,Under Review,No
LOAN0000049,CUST000061,Education Loan,2669478,10.05,12,234751.61,2018-07-11,Active,Yes
LOAN0000050,CUST000043,Education Loan,5284709,16.14,60,128907.3,2020-11-30,Active,No
LOAN0000051,CUST000712,Business Loan,3708242,18.25,24,185578.9,2021-06-01,Closed,No
LOAN0000052,CUST000554,Home Loan,5579999,10.57,120,75512.59,2026-03-23,Active,Yes
LOAN0000053,CUST000159,Personal Loan,2130000,7.31,84,32471.15,2019-11-16,Active,No
LOAN0000054,CUST000650,Business Loan,1788742,17.74,36,64434.24,2019-07-26,Active,No
LOAN0000055,CUST000820,Education Loan,6191218,10.44,240,61562.55,2025-05-29,Active,Yes
LOAN0000056,CUST000384,Education Loan,6271279,7.59,36,195335.1,2022-05-03,Closed,Yes
LOAN0000057,CUST000673,Gold Loan,922636,12.33,240,10372.08,2022-08-05,Active,No
LOAN0000058,CUST000538,Car Loan,7380047,9.33,240,67974.52,2025-01-12,Active,No
LOAN0000059,CUST000989,Business Loan,1169863,16.1,60,28510.99,2024-01-21,Active,No
LOAN0000060,CUST000421,Business Loan,2614294,15.3,36,91009.9,2020-09-07,Active,Yes
LOAN0000061,CUST000840,Personal Loan,1476860,9.33,84,24009.4,2022-07-22,Active,Yes
LOAN0000062,CUST000637,Education Loan,3048824,14.71,84,58337.45,2024-09-13,Closed,Yes
LOAN0000063,CUST000403,Personal Loan,4316799,15.62,120,71293.11,2018-11-03,Active,Yes
LOAN0000064,CUST000872,Business Loan,834820,8.52,240,7255.33,2025-06-25,Closed,Yes
LOAN0000065,CUST000973,Personal Loan,2594446,15.41,240,34951.93,2026-01-01,Under Review,Yes
LOAN0000066,CUST000229,Education Loan,6373448,13.45,48,172410.57,2018-10-09,Active,Yes
LOAN0000067,CUST000684,Gold Loan,5725693,13.8,240,70370.01,2020-09-30,Active,Yes
LOAN0000068,CUST000276,Car Loan,7391205,18.11,240,114695.4,2020-04-24,Closed,No
LOAN0000069,CUST000499,Car Loan,2199235,13.21,240,26095.42,2024-11-03,Active,Yes
LOAN0000070,CUST000988,Business Loan,1488710,13.68,36,50649.51,2022-05-17,Active,No
LOAN0000071,CUST000124,Gold Loan,1665307,16.55,60,40985.3,2023-09-05,Active,No
LOAN0000072,CUST000799,Business Loan,6000592,15.96,60,145795.24,2019-12-18,Closed,Yes
LOAN0000073,CUST000271,Gold Loan,1444475,18.46,48,42779.45,2023-12-22,Active,No
LOAN0000074,CUST000896,Education Loan,565216,16.32,48,16111.16,2022-08-27,Active,No
LOAN0000075,CUST000973,Gold Loan,1467603,11.48,84,25500.86,2018-06-02,Active,Yes
LOAN0000076,CUST000338,Home Loan,6670450,11.81,60,147740.82,2020-11-23,Closed,Yes
LOAN0000077,CUST000078,Car Loan,7435076,11.96,240,81659.35,2019-11-16,Closed,No
LOAN0000078,CUST000799,Gold Loan,501814,12.05,120,7214.09,2020-09-24,Active,Yes
LOAN0000079,CUST000222,Education Loan,2510167,17.3,84,51733.41,2019-08-11,Closed,Yes
LOAN0000080,CUST000785,Car Loan,4174765,13.88,12,374604.44,2024-03-25,Active,Yes
LOAN0000081,CUST000822,Business Loan,1227867,14.88,36,42492.29,2019-10-29,Closed,No
LOAN0000082,CUST000084,Education Loan,1465922,10.64,36,47742.88,2019-07-10,Active,Yes
LOAN0000083,CUST000378,Gold Loan,5271072,9.12,24,241097.89,2022-04-28,Active,No
LOAN0000084,CUST000932,Personal Loan,1649198,7.84,12,143339.17,2022-01-27,Active,No
LOAN0000085,CUST000240,Gold Loan,521505,9.24,240,4772.91,2025-11-11,Closed,Yes
LOAN0000086,CUST000601,Business Loan,1173800,17.06,12,107089.56,2018-10-18,Active,No
LOAN0000087,CUST000598,Education Loan,5811839,14.62,180,79834.45,2024-01-02,Active,No
LOAN0000088,CUST000148,Car Loan,7381410,9.18,24,337827.75,2023-09-10,Active,No
LOAN0000089,CUST000216,Car Loan,1381327,16.47,12,125636.42,2020-06-05,Active,Yes
LOAN0000090,CUST000255,Personal Loan,4858718,11.25,180,55989.17,2018-02-13,Closed,No
LOAN0000091,CUST000453,Gold Loan,3901602,11.16,84,67133.61,2023-08-07,Active,No
LOAN0000092,CUST000539,Gold Loan,2073225,17.46,24,102963.77,2022-01-28,Active,Yes
LOAN0000093,CUST000143,Gold Loan,2145098,18.31,48,63360.27,2025-07-13,Active,Yes
LOAN0000094,CUST000744,Education Loan,3710798,8.89,12,324325.51,2023-06-02,Closed,No
LOAN0000095,CUST000797,Personal Loan,7198170,17.77,12,659140.52,2025-02-27,Active,Yes
LOAN0000096,CUST000673,Car Loan,6307567,10.71,60,136231.32,2025-06-21,Active,No
LOAN0000097,CUST000754,Car Loan,5614776,11.16,36,184246.29,2025-04-27,Active,Yes
LOAN0000098,CUST000452,Gold Loan,3653897,17.27,120,64130.38,2024-03-22,Active,No
LOAN0000099,CUST000122,Personal Loan,2981016,16.28,120,50457.34,2022-03-16,Closed,No
LOAN0000100,CUST000357,Personal Loan,2588900,16.33,60,63411.86,2020-12-11,Closed,Yes
LOAN0000101,CUST000805,Personal Loan,142805,17.1,48,4128.04,2019-11-06,Closed,No
LOAN0000102,CUST000967,Home Loan,4256599,15.44,48,119415.89,2018-05-30,Closed,Yes
LOAN0000103,CUST000458,Home Loan,2472373,8.88,60,51178.53,2025-05-24,Active,No
LOAN0000104,CUST000101,Education Loan,7383786,12.46,60,165969.78,2021-08-02,Active,No
LOAN0000105,CUST000379,Business Loan,5381754,15.58,60,129675.85,2025-01-29,Active,No
LOAN0000106,CUST000056,Personal Loan,3426279,7.52,48,82875.65,2018-01-31,Active,Yes
LOAN0000107,CUST000090,Personal Loan,1761654,10.03,12,154901.96,2024-02-05,Active,No
LOAN0000108,CUST000285,Business Loan,6424083,9.94,60,136303.2,2024-05-16,Active,No
LOAN0000109,CUST000262,Gold Loan,3815088,10.32,180,41747.21,2020-12-25,Closed,Yes
LOAN0000110,CUST000446,Gold Loan,3834491,8.45,48,94423.21,2020-01-05,Active,No
LOAN0000111,CUST000122,Car Loan,4049941,8.06,240,34026.72,2020-06-24,Active,No
LOAN0000112,CUST000092,Home Loan,430827,16.06,84,8571.84,2024-02-28,Active,Yes
LOAN0000113,CUST000883,Business Loan,7098668,13.43,180,91833.11,2019-08-02,Active,Yes
LOAN0000114,CUST000845,Education Loan,5647890,17.29,120,99199.31,2025-06-01,Active,No
LOAN0000115,CUST000563,Car Loan,5785474,7.5,48,139886.41,2024-01-28,Active,Yes
