ticket_id,customer_id,issue_type,priority,status,created_date,resolved_date,channel
TKT00000001,CUST000989,Card Block,High,Resolved,2024-02-02,2024-02-10,Branch
TKT00000002,CUST000167,Chargeback,Low,In Progress,2024-04-29,,Branch
TKT00000003,CUST000863,KYC Update,Critical,Resolved,2026-01-25,2026-02-02,Mobile App
TKT00000004,CUST000388,Loan Query,Low,In Progress,2024-12-01,,Mobile App
TKT00000005,CUST000536,Loan Query,Low,Resolved,2025-10-23,2025-11-01,Email
TKT00000006,CUST000248,Loan Query,Critical,Closed,2025-02-24,2025-02-26,Mobile App
TKT00000007,CUST000759,Statement Request,Medium,Resolved,2026-01-05,2026-01-08,Branch
TKT00000008,CUST000581,Loan Query,Critical,Resolved,2026-03-23,2026-04-01,Mobile App
TKT00000009,CUST000774,Loan Query,High,Resolved,2024-02-26,2024-02-28,Phone
TKT00000010,CUST000989,Account Access,High,Closed,2024-06-19,2024-06-25,Branch
TKT00000011,CUST000058,Fraud Complaint,Medium,Resolved,2024-03-15,2024-03-29,Branch
TKT00000012,CUST000777,Statement Request,Low,Resolved,2025-05-20,2025-06-01,Phone
TKT00000013,CUST000288,Account Access,Medium,Open,2024-08-20,,Mobile App
TKT00000014,CUST000989,Failed Transaction,High,In Progress,2024-05-31,,Chat
TKT00000015,CUST000198,Chargeback,Low,Resolved,2024-07-23,2024-07-29,Mobile App
TKT00000016,CUST000316,Statement Request,Medium,Resolved,2025-09-20,2025-09-26,Branch
TKT00000017,CUST000467,Statement Request,Low,In Progress,2025-02-14,,Branch
TKT00000018,CUST000584,Account Access,Medium,Resolved,2025-03-15,2025-03-29,Email
TKT00000019,CUST000320,Statement Request,Medium,Resolved,2024-06-27,2024-06-28,Chat
TKT00000020,CUST000625,KYC Update,Low,Resolved,2024-09-12,2024-09-25,Branch
TKT00000021,CUST000226,Chargeback,High,Closed,2025-08-16,2025-08-30,Phone
TKT00000022,CUST000363,Card Block,Critical,Open,2026-01-02,,Chat
TKT00000023,CUST000975,Account Access,Critical,In Progress,2025-10-13,,Phone
TKT00000024,CUST000591,Failed Transaction,High,Open,2025-05-03,,Email
TKT00000025,CUST000443,Card Block,Low,Resolved,2026-05-15,2026-05-16,Mobile App
TKT00000026,CUST000099,Statement Request,Medium,Resolved,2025-01-18,2025-01-24,Phone
TKT00000027,CUST000352,Failed Transaction,Low,Resolved,2026-04-10,2026-04-23,Mobile App
TKT00000028,CUST000947,Fraud Complaint,Critical,Closed,2024-08-02,2024-08-17,Branch
TKT00000029,CUST000456,Chargeback,Low,Resolved,2025-06-08,2025-06-10,Mobile App
TKT00000030,CUST000068,Fraud Complaint,Medium,Closed,2025-02-12,2025-02-14,Mobile App
TKT00000031,CUST000274,Loan Query,Critical,Closed,2024-02-15,2024-02-19,Branch
TKT00000032,CUST000974,Statement Request,High,Resolved,2025-03-30,2025-04-08,Branch
TKT00000033,CUST000003,Fraud Complaint,High,Open,2026-03-18,,Email
TKT00000034,CUST000110,Card Block,High,Closed,2025-01-19,2025-01-26,Email
TKT00000035,CUST000173,Fraud Complaint,Low,Closed,2024-04-16,2024-04-21,Email
TKT00000036,CUST000603,KYC Update,Critical,Open,2024-08-09,,Email
TKT00000037,CUST000474,Account Access,Critical,Closed,2024-12-13,2024-12-22,Email
