fraud_id,transaction_id,fraud_type,risk_score,detected_date,investigation_status,loss_amount
FRD0000001,TXN000003872,Phishing,95,2026-05-17,Confirmed Fraud,68039.04
FRD0000002,TXN000008978,Suspicious High Value Transfer,99,2024-08-19,Open,7349.94
FRD0000003,TXN000004186,Account Takeover,97,2026-05-13,Open,42348.5
FRD0000004,TXN000009230,UPI Scam,59,2024-09-26,False Positive,11975.5
FRD0000005,TXN000007178,Card Skimming,57,2025-04-25,Open,68213.24
FRD0000006,TXN000000875,Identity Theft,60,2024-06-25,Open,50523.08
FRD0000007,TXN000000218,Suspicious High Value Transfer,63,2025-02-27,Confirmed Fraud,45892.21
FRD0000008,TXN000002248,Card Skimming,72,2024-03-16,Confirmed Fraud,9854.45
FRD0000009,TXN000005793,Account Takeover,56,2025-11-23,Confirmed Fraud,11054.96
FRD0000010,TXN000009538,UPI Scam,78,2025-03-06,False Positive,13909.9
FRD0000011,TXN000002256,UPI Scam,69,2024-07-31,Open,8089.33
FRD0000012,TXN000007073,Identity Theft,67,2025-09-09,Open,12233.77
FRD0000013,TXN000007169,UPI Scam,66,2024-09-30,In Progress,54842.2
FRD0000014,TXN000005255,UPI Scam,73,2026-01-22,Confirmed Fraud,13243.99
FRD0000015,TXN000007428,Identity Theft,78,2025-12-31,Confirmed Fraud,16642.79
FRD0000016,TXN000001280,Account Takeover,78,2025-07-10,Open,24924.21
FRD0000017,TXN000003197,UPI Scam,82,2026-03-14,False Positive,9369.19
FRD0000018,TXN000003765,Account Takeover,81,2025-03-27,Open,126630.0
FRD0000019,TXN000005480,Suspicious High Value Transfer,74,2024-01-20,Closed,12334.1
FRD0000020,TXN000004812,Identity Theft,69,2024-06-30,Closed,54980.02
FRD0000021,TXN000002242,Suspicious High Value Transfer,58,2024-06-25,False Positive,48826.98
FRD0000022,TXN000007200,Identity Theft,73,2025-02-01,Closed,5018.23
FRD0000023,TXN000001383,Account Takeover,85,2025-09-25,False Positive,10237.57
FRD0000024,TXN000005650,Account Takeover,100,2025-05-30,Open,75708.0
FRD0000025,TXN000002141,Phishing,55,2024-10-05,In Progress,5294.74
FRD0000026,TXN000003937,Account Takeover,83,2024-11-05,Open,12225.81
FRD0000027,TXN000003175,Identity Theft,62,2025-01-27,Open,43666.27
FRD0000028,TXN000006909,Identity Theft,89,2025-11-13,Open,31035.77
FRD0000029,TXN000001679,Suspicious High Value Transfer,66,2025-03-25,Open,21813.72
FRD0000030,TXN000009746,Card Skimming,57,2024-09-23,Closed,61267.94
FRD0000031,TXN000003510,UPI Scam,88,2024-02-23,Confirmed Fraud,22189.55
FRD0000032,TXN000006794,Suspicious High Value Transfer,98,2024-06-18,In Progress,3983.76
FRD0000033,TXN000008899,Card Skimming,70,2024-08-18,False Positive,60503.59
FRD0000034,TXN000001161,UPI Scam,71,2024-04-25,Open,7506.51
FRD0000035,TXN000004793,Phishing,57,2024-08-06,Closed,20690.13
FRD0000036,TXN000005238,Account Takeover,77,2026-03-04,Closed,2132.4
FRD0000037,TXN000004411,Account Takeover,79,2025-11-18,In Progress,1792.24
FRD0000038,TXN000009440,Account Takeover,70,2025-07-02,Open,7862.61
FRD0000039,TXN000001675,Phishing,82,2025-10-05,Open,11026.14
FRD0000040,TXN000002153,Identity Theft,77,2025-08-18,Confirmed Fraud,25281.36
FRD0000041,TXN000003164,Card Skimming,67,2024-06-15,Closed,48529.47
FRD0000042,TXN000004526,Phishing,75,2025-03-02,Closed,12001.71
FRD0000043,TXN000003981,Identity Theft,73,2025-09-17,Confirmed Fraud,11069.69
FRD0000044,TXN000004016,Suspicious High Value Transfer,75,2024-11-01,Confirmed Fraud,67452.75
FRD0000045,TXN000005714,Suspicious High Value Transfer,88,2024-09-01,In Progress,2560.62
FRD0000046,TXN000007381,Phishing,87,2025-01-28,Open,23458.53
FRD0000047,TXN000009224,Account Takeover,62,2026-03-14,Closed,22082.06
FRD0000048,TXN000006537,Identity Theft,74,2025-11-28,Confirmed Fraud,41986.89
FRD0000049,TXN000002874,Identity Theft,74,2025-07-17,Confirmed Fraud,86685.99
FRD0000050,TXN000002832,Phishing,93,2024-07-14,In Progress,47746.59
FRD0000051,TXN000007729,Suspicious High Value Transfer,55,2025-08-18,Open,56490.01
FRD0000052,TXN000005976,Suspicious High Value Transfer,77,2025-01-22,In Progress,5862.19
FRD0000053,TXN000001118,Card Skimming,100,2026-03-07,Closed,18373.62
FRD0000054,TXN000003683,Account Takeover,99,2024-05-11,Confirmed Fraud,73746.79
FRD0000055,TXN000004547,Account Takeover,80,2025-07-14,Confirmed Fraud,39221.64
FRD0000056,TXN000005208,Phishing,91,2024-03-26,In Progress,48580.97
FRD0000057,TXN000003414,Phishing,91,2025-07-28,Open,20904.5
FRD0000058,TXN000004857,Suspicious High Value Transfer,79,2024-05-15,Open,73909.13
FRD0000059,TXN000000432,Phishing,80,2026-02-25,Confirmed Fraud,16745.75
FRD0000060,TXN000004864,Identity Theft,65,2024-12-19,Open,12969.27
FRD0000061,TXN000008250,Identity Theft,97,2025-07-16,Open,14298.92
FRD0000062,TXN000002469,UPI Scam,94,2025-11-16,Confirmed Fraud,73627.31
FRD0000063,TXN000002088,Identity Theft,97,2024-12-29,Open,49318.94
FRD0000064,TXN000006157,Account Takeover,84,2025-10-01,False Positive,52495.47
FRD0000065,TXN000001253,Suspicious High Value Transfer,60,2024-12-07,In Progress,15165.73
FRD0000066,TXN000006097,Card Skimming,92,2025-03-04,In Progress,4277.85
FRD0000067,TXN000005924,Card Skimming,58,2026-04-17,In Progress,104507.22
FRD0000068,TXN000000148,Identity Theft,64,2024-08-12,Confirmed Fraud,92548.21
FRD0000069,TXN000009348,Account Takeover,72,2025-11-16,Open,25735.97
FRD0000070,TXN000008155,UPI Scam,56,2024-09-02,In Progress,4862.7
FRD0000071,TXN000006487,Suspicious High Value Transfer,86,2024-11-13,Closed,83762.15
FRD0000072,TXN000001765,Account Takeover,93,2025-01-30,Closed,39361.2
FRD0000073,TXN000002847,Suspicious High Value Transfer,93,2025-05-17,In Progress,14513.02
FRD0000074,TXN000008890,Phishing,87,2024-07-09,Closed,2204.04
FRD0000075,TXN000004495,Account Takeover,68,2024-08-13,False Positive,5717.48
FRD0000076,TXN000004085,Identity Theft,97,2024-09-25,Open,26452.43
FRD0000077,TXN000007977,UPI Scam,71,2024-08-03,In Progress,6744.37
FRD0000078,TXN000003592,Suspicious High Value Transfer,80,2025-06-05,False Positive,24313.92
FRD0000079,TXN000002285,Phishing,72,2025-01-20,Confirmed Fraud,26707.64
FRD0000080,TXN000001803,Card Skimming,96,2025-07-25,Closed,36668.42
FRD0000081,TXN000005170,Phishing,95,2024-01-26,In Progress,102920.4
FRD0000082,TXN000007817,Card Skimming,95,2024-10-03,Confirmed Fraud,38390.16
FRD0000083,TXN000001041,Suspicious High Value Transfer,85,2025-04-01,False Positive,8467.53
FRD0000084,TXN000006716,Card Skimming,69,2024-08-14,In Progress,20894.52
FRD0000085,TXN000002142,UPI Scam,73,2024-05-24,Closed,8435.97
FRD0000086,TXN000002044,Account Takeover,65,2026-05-07,Closed,62428.34
FRD0000087,TXN000007018,Phishing,58,2026-01-28,False Positive,40115.48
FRD0000088,TXN000009275,Account Takeover,75,2024-02-13,Confirmed Fraud,53567.64
FRD0000089,TXN000008610,UPI Scam,93,2025-10-21,Confirmed Fraud,60044.72
FRD0000090,TXN000003801,Account Takeover,88,2025-05-03,In Progress,77317.09
