policy_id,customer_id,policy_type,premium_amount,sum_assured,start_date,end_date,status
POL0000001,CUST000510,Accident Insurance,64851,837483,2019-09-12,2022-09-11,Active
POL0000002,CUST000304,Health Insurance,43595,9244832,2023-02-13,2024-02-13,Expired
POL0000003,CUST000274,Health Insurance,14126,1655668,2021-03-17,2024-03-16,Active
POL0000004,CUST000216,Accident Insurance,3501,4109691,2021-08-30,2026-08-29,Active
POL0000005,CUST000044,Health Insurance,4655,7635496,2022-08-07,2024-08-06,Active
POL0000006,CUST000786,Vehicle Insurance,102515,4488932,2023-09-26,2026-09-25,Active
POL0000007,CUST000378,Vehicle Insurance,110409,5678346,2025-10-15,2027-10-15,Active
POL0000008,CUST000355,Accident Insurance,82486,6813985,2019-10-09,2022-10-08,Active
POL0000009,CUST000352,Life Insurance,6316,3334245,2021-08-24,2026-08-23,Active
POL0000010,CUST000470,Accident Insurance,104967,4910065,2022-08-09,2024-08-08,Active
POL0000011,CUST000964,Accident Insurance,9021,6208810,2019-02-12,2022-02-11,Cancelled
POL0000012,CUST000795,Vehicle Insurance,60168,2506486,2020-11-17,2023-11-17,Active
POL0000013,CUST000489,Travel Insurance,35871,9770456,2020-10-06,2021-10-06,Active
POL0000014,CUST000776,Vehicle Insurance,43702,4569894,2019-07-19,2021-07-18,Active
POL0000015,CUST000809,Travel Insurance,34476,5231301,2025-08-23,2026-08-23,Active
POL0000016,CUST000652,Accident Insurance,104540,2261231,2020-02-15,2021-02-14,Expired
POL0000017,CUST000687,Accident Insurance,6605,6288839,2024-10-29,2025-10-29,Active
POL0000018,CUST000605,Health Insurance,12553,4733536,2019-01-09,2024-01-08,Expired
POL0000019,CUST000411,Health Insurance,50469,252211,2021-09-01,2022-09-01,Cancelled
POL0000020,CUST000716,Accident Insurance,26193,9538004,2024-05-16,2029-05-15,Active
POL0000021,CUST000514,Travel Insurance,47855,5978217,2025-12-29,2030-12-28,Active
POL0000022,CUST000031,Travel Insurance,48029,4395168,2023-02-08,2025-02-07,Active
POL0000023,CUST000826,Health Insurance,72787,3826666,2025-04-26,2026-04-26,Cancelled
POL0000024,CUST000032,Travel Insurance,99066,7389530,2020-11-20,2023-11-20,Lapsed
POL0000025,CUST000358,Life Insurance,15151,9913993,2020-03-04,2022-03-04,Active
POL0000026,CUST000606,Health Insurance,88264,2433392,2019-11-03,2022-11-02,Active
POL0000027,CUST000106,Health Insurance,14763,6047863,2019-06-26,2020-06-25,Lapsed
POL0000028,CUST000621,Life Insurance,74988,9056516,2022-03-28,2025-03-27,Active
POL0000029,CUST000995,Vehicle Insurance,51578,1249464,2024-05-27,2025-05-27,Active
POL0000030,CUST000891,Vehicle Insurance,14568,7297694,2018-02-09,2019-02-09,Active
POL0000031,CUST000609,Vehicle Insurance,48523,336871,2018-04-18,2021-04-17,Active
POL0000032,CUST000625,Vehicle Insurance,82164,8253217,2026-02-20,2027-02-20,Lapsed
POL0000033,CUST000711,Health Insurance,35497,1377595,2023-07-06,2024-07-05,Active
POL0000034,CUST000850,Health Insurance,98778,6647791,2025-02-08,2026-02-08,Active
POL0000035,CUST000421,Life Insurance,39467,3904822,2025-02-21,2026-02-21,Expired
POL0000036,CUST000287,Travel Insurance,66912,5656334,2018-11-02,2023-11-01,Active
POL0000037,CUST000843,Health Insurance,86667,3655943,2020-05-17,2025-05-16,Expired
POL0000038,CUST000885,Travel Insurance,16159,9331349,2019-08-21,2021-08-20,Active
POL0000039,CUST000439,Travel Insurance,7330,6178924,2019-10-23,2024-10-21,Active
POL0000040,CUST000141,Travel Insurance,54066,3511964,2020-04-09,2023-04-09,Active
POL0000041,CUST000548,Accident Insurance,112953,7042072,2021-11-20,2022-11-20,Expired
POL0000042,CUST000154,Accident Insurance,88550,6328752,2023-10-23,2024-10-22,Expired
POL0000043,CUST000120,Health Insurance,44248,3846823,2022-04-25,2027-04-24,Active
POL0000044,CUST000242,Travel Insurance,70321,935584,2024-03-29,2025-03-29,Active
POL0000045,CUST000243,Travel Insurance,98573,1013372,2021-09-28,2024-09-27,Active
POL0000046,CUST000046,Accident Insurance,49181,2353939,2023-05-10,2025-05-09,Active
POL0000047,CUST000515,Life Insurance,65359,3614169,2020-06-11,2023-06-11,Lapsed
POL0000048,CUST000918,Life Insurance,115939,2680922,2023-08-10,2025-08-09,Active
POL0000049,CUST000755,Accident Insurance,91003,4031264,2018-02-20,2023-02-19,Active
POL0000050,CUST000579,Vehicle Insurance,98160,7942221,2023-02-20,2028-02-19,Expired
POL0000051,CUST000887,Vehicle Insurance,16532,5730358,2019-08-12,2021-08-11,Active
POL0000052,CUST000467,Travel Insurance,36958,8907223,2021-04-04,2026-04-03,Active
POL0000053,CUST000022,Life Insurance,53520,3507076,2019-01-06,2024-01-05,Lapsed
POL0000054,CUST000757,Travel Insurance,6772,4989580,2024-10-25,2026-10-25,Expired
POL0000055,CUST000090,Life Insurance,92715,2457025,2025-12-26,2026-12-26,Active
POL0000056,CUST000668,Accident Insurance,41280,8397041,2022-12-31,2025-12-30,Expired
POL0000057,CUST000978,Accident Insurance,41866,507529,2024-09-01,2027-09-01,Active
POL0000058,CUST000187,Life Insurance,32327,4197394,2025-01-10,2027-01-10,Active
POL0000059,CUST000167,Life Insurance,104732,5081697,2021-07-08,2022-07-08,Expired
POL0000060,CUST000322,Health Insurance,28709,9995796,2021-09-05,2022-09-05,Active
POL0000061,CUST000673,Vehicle Insurance,39880,8863179,2023-10-23,2025-10-22,Active
POL0000062,CUST000311,Life Insurance,41396,2084254,2018-03-01,2019-03-01,Active
POL0000063,CUST000758,Accident Insurance,67541,1165214,2025-12-21,2028-12-20,Active
POL0000064,CUST000014,Life Insurance,31517,2179483,2025-02-15,2026-02-15,Active
