transaction_id,account_id,transaction_date,transaction_type,amount,merchant_name,payment_mode,status,city,channel
TXN000000001,ACC0000666,2025-10-18,Credit,82567.03,School Fees,UPI,Success,Ahmedabad,POS
TXN000000002,ACC0000496,2024-04-18,Debit,84861.81,Zomato,POS,Success,Lucknow,ATM
TXN000000003,ACC0000953,2025-09-09,Credit,48441.27,Insurance Premium,NetBanking,Success,Kochi,Web
TXN000000004,ACC0001141,2024-01-26,Credit,111320.71,Netflix,UPI,Failed,Bhopal,Branch
TXN000000005,ACC0000256,2026-03-10,Debit,16448.6,Jio,POS,Success,Ahmedabad,Web
TXN000000006,ACC0001171,2025-08-27,Credit,123453.58,Airtel,NetBanking,Success,Delhi,POS
TXN000000007,ACC0001092,2026-05-11,Debit,97260.66,Ola,NetBanking,Success,Chandigarh,Branch
TXN000000008,ACC0000090,2024-09-25,Credit,90540.19,Uber,IMPS,Success,Lucknow,POS
TXN000000009,ACC0001007,2024-02-20,Credit,69485.18,DMart,UPI,Success,Ahmedabad,Web
TXN000000010,ACC0000037,2024-06-02,Credit,109676.41,Netflix,UPI,Success,Kochi,ATM
TXN000000011,ACC0001282,2025-08-08,Credit,41321.8,Amazon,NetBanking,Success,Ahmedabad,Branch
TXN000000012,ACC0000306,2024-07-12,Debit,24349.54,Myntra,RTGS,Success,Chandigarh,POS
TXN000000013,ACC0000033,2024-01-14,Credit,132971.0,Insurance Premium,RTGS,Success,Bengaluru,Branch
TXN000000014,ACC0000354,2025-03-09,Debit,97698.68,Zomato,ATM,Success,Ahmedabad,ATM
TXN000000015,ACC0000745,2026-01-22,Credit,141781.35,Ola,UPI,Success,Pune,ATM
TXN000000016,ACC0000189,2024-11-08,Debit,114407.89,Jio,POS,Failed,Chandigarh,ATM
TXN000000017,ACC0000524,2025-05-19,Credit,57095.39,Reliance Digital,POS,Success,Chennai,Branch
TXN000000018,ACC0000449,2024-10-14,Credit,108696.81,Jio,NetBanking,Failed,Kochi,ATM
TXN000000019,ACC0000725,2025-11-13,Debit,77141.3,Uber,RTGS,Success,Kochi,Web
TXN000000020,ACC0001355,2025-07-14,Debit,53008.4,Myntra,IMPS,Success,Lucknow,Web
TXN000000021,ACC0000890,2025-06-14,Debit,124489.07,Netflix,RTGS,Success,Chandigarh,ATM
TXN000000022,ACC0000969,2025-06-04,Credit,70676.38,Ola,RTGS,Success,Chandigarh,ATM
TXN000000023,ACC0001250,2025-10-26,Debit,98550.24,Uber,ATM,Success,Bhopal,ATM
TXN000000024,ACC0001223,2024-02-02,Debit,129984.76,Airtel,UPI,Success,Chennai,Branch
TXN000000025,ACC0000123,2025-09-02,Credit,108123.61,IRCTC,ATM,Success,Bengaluru,Mobile
TXN000000026,ACC0000105,2026-02-15,Debit,42090.59,Reliance Digital,UPI,Success,Lucknow,Web
TXN000000027,ACC0001004,2025-08-27,Debit,126688.22,Netflix,ATM,Success,Pune,Mobile
TXN000000028,ACC0000495,2025-03-07,Debit,4335.17,Zomato,POS,Success,Pune,Mobile
TXN000000029,ACC0000726,2025-12-14,Credit,19941.66,Amazon,ATM,Reversed,Mumbai,Web
